restaurant_names,restaurant_locations,costs_for_2,cusisines,ratings,restaurant_imgs,restaurant_pages
Metro Grill,"City Center Mall, Rohini",₹ 1200,North Indian,3.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111396%2Frestaurant420210303072401.jpeg,https://www.eazydiner.com/delhi-ncr/metro-grill-rohini-111396?deal_types[]=postpaid
Punjab Street,"NIT, Faridabad",₹ 800,North Indian,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673098%2Frestaurant120210304085743.jpg,https://www.eazydiner.com/delhi-ncr/punjab-street-nit-faridabad-673098?deal_types[]=postpaid
Tossin Pizza,"Galleria Market, Gurgaon",₹ 800,Pizza,4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110138%2Frestaurant020210908051119.jpg,https://www.eazydiner.com/delhi-ncr/crusty-gourmet-pizzas-more-110138?deal_types[]=postpaid
Tangerine,"Sarovar Portico, Ghaziabad",₹ 1600,"Indian,Chinese,European",3.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111371%2Frestaurant120170422090959.jpg,https://www.eazydiner.com/delhi-ncr/tangerine-vaishali-111371?deal_types[]=postpaid
The Yellow House - Robo Kitchen,"Sector 104, Noida",₹ 1000,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683316%2Frestaurant020220423075021.jpeg,https://www.eazydiner.com/delhi-ncr/the-yellow-house-robo-kitchen-sector-104-noida-683316?deal_types[]=postpaid
The Burger Company,"Sector 31, Gurgaon",₹ 300,Burgers,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674093%2Frestaurant020210923051512.jpg,https://www.eazydiner.com/delhi-ncr/the-burger-company-sector-31-gurgaon-674093?deal_types[]=postpaid
Amelia By The Playpen,"MG Road, South Delhi",₹ 700,"Bakery,Cafe,European",4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682993%2Frestaurant020220319110849.jpeg,https://www.eazydiner.com/delhi-ncr/amelia-by-the-playpen-mg-road-south-delhi-682993?deal_types[]=postpaid
Pind Balluchi,"Greater Noida, Noida",₹ 1200,North Indian,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683336%2Frestaurant020220426080248.jpg,https://www.eazydiner.com/delhi-ncr/pind-balluchi-greater-noida-noida-683336?deal_types[]=postpaid
Tossin Pizza,"Sector 56, Gurgaon",₹ 800,Pizza,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674053%2Frestaurant020210908061721.jpg,https://www.eazydiner.com/delhi-ncr/tossin-pizza-sector-56-gurgaon-674053?deal_types[]=postpaid
Uber Lounge,"Greater Kailash (GK) 2, South Delhi",₹ 1000,Cocktail Menu,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110271%2Ftynurtyu5yenry-01.jpg,https://www.eazydiner.com/delhi-ncr/uber-lounge-greater-kailash-gk-2-110271?deal_types[]=postpaid
Cafe Coffee Bar,"City Centre Mall, Dwarka",₹ 1500,Multicuisine,3.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682932%2Frestaurant020220312065802.jpeg,https://www.eazydiner.com/delhi-ncr/cafe-coffee-bar-city-centre-mall-dwarka-682932?deal_types[]=postpaid
Viva,Holiday Inn Gurugram Sector 90,₹ 1400,Multicuisine,3.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682966%2Frestaurant020220316120017.jpg,https://www.eazydiner.com/delhi-ncr/viva-holiday-inn-gurugram-sector-90-682966?deal_types[]=postpaid
Bloom Cafe & Cakery,"Khan Market, Central Delhi",₹ 1000,"Bakery,European",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683047%2Frestaurant020220324052507.jpg,https://www.eazydiner.com/delhi-ncr/bloom-cafe-cakery-khan-market-central-delhi-683047?deal_types[]=postpaid
Sparsa Cafe,"Sector 30, Gurgaon",₹ 500,Continental,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673060%2Frestaurant420210225062511.jpeg,https://www.eazydiner.com/delhi-ncr/sparsa-cafe-sector-30-gurgaon-673060?deal_types[]=postpaid
Mugz Cafe,"Gwal Pahari, Gurgaon",₹ 800,"Italian,Continental",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683274%2Frestaurant020220419092608.jpeg,https://www.eazydiner.com/delhi-ncr/mugz-cafe-gwal-pahari-gurgaon-683274?deal_types[]=postpaid
Tandoor N Grills,"Raj Nagar, Ghaziabad",₹ 1000,North Indian,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683468%2Frestaurant020220505110349.jpeg,https://www.eazydiner.com/delhi-ncr/tandoor-n-grills-raj-nagar-ghaziabad-683468?deal_types[]=postpaid
Patio,"The Muse Sarovar Portico, Nehru Place, New Delhi",₹ 1500,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682923%2Frestaurant020220311100530.jpg,https://www.eazydiner.com/delhi-ncr/patio-the-muse-sarovar-portico-nehru-place-new-delhi-682923?deal_types[]=postpaid
Biryani Birinj,"Sector 11, Rohini, West Delhi",₹ 500,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683632%2Frestaurant020220525063739.jpeg,https://www.eazydiner.com/delhi-ncr/biryani-birinj-sector-11-rohini-west-delhi-683632?deal_types[]=postpaid
Zoca Cafe,"Vikaspuri, West Delhi",₹ 1000,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683633%2Frestaurant020220525070916.jpeg,https://www.eazydiner.com/delhi-ncr/zoca-cafe-vikaspuri-west-delhi-683633?deal_types[]=postpaid
Lord of the Drinks East,"Preet Vihar, East Delhi",₹ 1200,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682283%2Frestaurant020211216094957.jpg,https://www.eazydiner.com/delhi-ncr/lord-of-the-drinks-east-preet-vihar-east-delhi-682283?deal_types[]=postpaid
Saltoro Coffee Roasters,"Sector 4, Noida, Noida",₹ 800,"Cafe,Mediterranean",4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682566%2Frestaurant020220201112031.png,https://www.eazydiner.com/delhi-ncr/saltoro-coffee-roasters-sector-4-noida-noida-682566?deal_types[]=postpaid
Pind Balluchi,"Mahagun Metro Mall, Ghaziabad",₹ 1200,North Indian,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F119479%2Frestaurant320181212072233.jpeg,https://www.eazydiner.com/delhi-ncr/pind-balluchi-vaishali-119479?deal_types[]=postpaid
Spinn's,"Vikaspuri, West Delhi",₹ 1000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683263%2Frestaurant020220421084453.jpeg,https://www.eazydiner.com/delhi-ncr/spinns-vikaspuri-west-delhi-683263?deal_types[]=postpaid
Drinking Safari PitStop,"Gwal Pahari, Gurgaon",₹ 900,Continental,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673057%2Frestaurant820210222085621.jpg,https://www.eazydiner.com/delhi-ncr/drinking-safari-pitstop-gwal-pahari-gurgaon-673057?deal_types[]=postpaid
The Beer Cafe,"Sector 142, Noida",₹ 1200,Multicuisine,3.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673953%2Frestaurant020210818061954.jpeg,https://www.eazydiner.com/delhi-ncr/the-beer-cafe-sector-142-noida-673953?deal_types[]=postpaid
Frosty,"Sector 10, Dwarka, West Delhi",₹ 500,Beverages,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683141%2Frestaurant020220331080030.jpeg,https://www.eazydiner.com/delhi-ncr/frosty-sector-10-dwarka-west-delhi-683141?deal_types[]=postpaid
Xero Degrees,"Sector 104, Noida",₹ 500,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683043%2Frestaurant020220323113130.jpeg,https://www.eazydiner.com/delhi-ncr/xero-degrees-sector-104-noida-683043?deal_types[]=postpaid
Oh! Pind,"Karol Bagh, Central Delhi",₹ 500,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682714%2Frestaurant020220215084832.jpg,https://www.eazydiner.com/delhi-ncr/saada-pind-karol-bagh-central-delhi-682714?deal_types[]=postpaid
Charcha,"Kamla Nagar, North Delhi",₹ 1000,"Beverages,Italian",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682737%2Frestaurant020220218064158.jpeg,https://www.eazydiner.com/delhi-ncr/charcha-kamla-nagar-north-delhi-682737?deal_types[]=postpaid
Pind Balluchi,"Sector 63, Noida",₹ 1200,Multicuisine,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F658090%2Frestaurant020181212083805.jpg,https://www.eazydiner.com/delhi-ncr/pind-balluchi-sector-63-noida-658090?deal_types[]=postpaid
Appu Ke Phare,"Gaur City 1, Noida",₹ 1000,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683074%2Frestaurant020220325065755.jpg,https://www.eazydiner.com/delhi-ncr/appu-ke-phare-gaur-city-1-noida-683074?deal_types[]=postpaid
Café Ciro,"Sector 120, Noida",₹ 1000,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683366%2Frestaurant020220427110454.jpg,https://www.eazydiner.com/delhi-ncr/cafe-ciro-sector-120-noida-683366?deal_types[]=postpaid
Spicy Tadka,"Sector 10, Faridabad",₹ 600,"Chinese,North Indian",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673679%2Frestaurant220210724104615.jpg,https://www.eazydiner.com/delhi-ncr/spicy-tadka-sector-10-faridabad-673679?deal_types[]=postpaid
Three Tuns Cafe and Bar,"Janakpuri, West Delhi",₹ 1500,"European,Fast Food,Italian,Pan Asian",3.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643856%2Frestaurant020220224115214.jpeg,https://www.eazydiner.com/delhi-ncr/three-tuns-cafe-and-bar-janakpuri-west-delhi-643856?deal_types[]=postpaid
Nineteen 78,"Select Citywalk Mall, Saket",₹ 1500,"Asian,Continental",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683523%2Frestaurant020220512065823.jpeg,https://www.eazydiner.com/delhi-ncr/nineteen-78-select-citywalk-mall-saket-683523?deal_types[]=postpaid
Dilli 19,"Kalkaji, South Delhi",₹ 500,North Indian,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683287%2Frestaurant020220420095047.jpeg,https://www.eazydiner.com/delhi-ncr/dilli-19-kalkaji-south-delhi-683287?deal_types[]=postpaid
The Art House Cafe,"Connaught Place (CP), Central Delhi",₹ 1200,Cafe,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F657906%2Frestaurant720190128111459.jpg,https://www.eazydiner.com/delhi-ncr/rara-the-art-house-cafe-connaught-place-cp-central-delhi-657906?deal_types[]=postpaid
Growl,"Sector 38, Noida",₹ 1100,Multicuisine,N/A,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683792%2Frestaurant020220611105609.jpeg,https://www.eazydiner.com/delhi-ncr/growl-sector-38-noida-683792?deal_types[]=postpaid
Moti Mahal Delux,"Shakarpur, East Delhi",₹ 1500,"Mughlai,North Indian",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683127%2Frestaurant020220330100958.jpeg,https://www.eazydiner.com/delhi-ncr/moti-mahal-delux-shakarpur-east-delhi-683127?deal_types[]=postpaid
Felicita,"The Fern Residency, Gurgaon",₹ 2000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683124%2Frestaurant020220330092411.jpg,https://www.eazydiner.com/delhi-ncr/felicita-the-fern-residency-gurgaon-683124?deal_types[]=postpaid
U Kitchen,"Panchsheel Park, South Delhi",₹ 1500,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683200%2Frestaurant020220407083016.jpeg,https://www.eazydiner.com/delhi-ncr/u-kitchen-panchsheel-park-south-delhi-683200?deal_types[]=postpaid
The Kaanch - Family Restro & Lounge Bar,"Mayur Vihar Phase 3, East Delhi",₹ 1100,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683432%2Frestaurant020220430100821.jpeg,https://www.eazydiner.com/delhi-ncr/the-kaanch-family-restro-lounge-bar-mayur-vihar-phase-3-east-delhi-683432?deal_types[]=postpaid
The Good Food Cafe,"Pitampura, North Delhi",₹ 700,"Cafe,Healthy Food,Continental",3.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110946%2Frestaurant120181012055658.jpeg,https://www.eazydiner.com/delhi-ncr/the-good-food-cafe-pitampura-110946?deal_types[]=postpaid
U Kitchen,"Chattarpur, South Delhi",₹ 1500,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683206%2Frestaurant020220407104717.jpeg,https://www.eazydiner.com/delhi-ncr/u-kitchen-chattarpur-south-delhi-683206?deal_types[]=postpaid
CAFE CHILL'M,"Kamla Nagar, North Delhi",₹ 500,Multicuisine,3.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111056%2Frestaurant620210929095007.jpeg,https://www.eazydiner.com/delhi-ncr/sinciti-chillm-kamla-nagar-111056?deal_types[]=postpaid
Bell Pepperz,"Ashok Vihar Phase 2, North Delhi",₹ 1200,"Chinese,Italian,North Indian,Kababs",3.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111492%2Frestaurant020220518092657.jpeg,https://www.eazydiner.com/delhi-ncr/bell-pepperz-ashok-vihar-phase-2-111492?deal_types[]=postpaid
Bistro Petit,"Cross Point Mall, Gurgaon",₹ 1200,Cafe,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673682%2Frestaurant220210726073148.png,https://www.eazydiner.com/delhi-ncr/bistro-petit-cross-point-mall-gurgaon-673682?deal_types[]=postpaid
Thalaviar,"Sector 65, Gurgaon",₹ 800,South Indian,3.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682241%2Frestaurant020211201063514.jpeg,https://www.eazydiner.com/delhi-ncr/thalaviar-sector-65-gurgaon-682241?deal_types[]=postpaid
Café Bow,"Sector 12, Dwarka, West Delhi",₹ 1200,"Chinese,Indian,Continental",3.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682298%2Frestaurant020211208091127.jpeg,https://www.eazydiner.com/delhi-ncr/cafe-bow-sector-12-dwarka-west-delhi-682298?deal_types[]=postpaid
Cafe Culture,"Greater Kailash (GK) 1, South Delhi",₹ 1000,Cafe,3.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643823%2Frestaurant020190212131433.jpg,https://www.eazydiner.com/delhi-ncr/cafe-culture-greater-kailash-gk-1-south-delhi-643823?deal_types[]=postpaid
Tequila Express,"Vikaspuri, West Delhi",₹ 900,Multicuisine,2.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683002%2Frestaurant020220322051627.jpeg,https://www.eazydiner.com/delhi-ncr/tequila-express-vikaspuri-west-delhi-683002?deal_types[]=postpaid
Signature 2.O,"Hari Nagar, West Delhi",₹ 2500,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683241%2Frestaurant020220413074507.jpeg,https://www.eazydiner.com/delhi-ncr/signature-2o-hari-nagar-west-delhi-683241?deal_types[]=postpaid
Cafe Coffeez And Teaz.Com,"MG Road, Gurgaon",₹ 500,"Cafe,Coffee and Tea",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683551%2Frestaurant020220514102921.jpeg,https://www.eazydiner.com/delhi-ncr/cafe-coffeez-and-teazcom-ghitorni-delhi-ncr-683551?deal_types[]=postpaid
In Good Taste,"Sector 48, Gurgaon",₹ 1200,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682879%2Frestaurant120220308065856.jpg,https://www.eazydiner.com/delhi-ncr/in-good-taste-sector-48-gurgaon-682879?deal_types[]=postpaid
Angel Restaurant,"Greater Noida, Noida",₹ 500,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682797%2Frestaurant020220225112638.jpg,https://www.eazydiner.com/delhi-ncr/angel-restaurant-greater-noida-noida-682797?deal_types[]=postpaid
Cafe 104,"The Fern Residency, Noida",₹ 1000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682802%2Frestaurant020220226065409.jpeg,https://www.eazydiner.com/delhi-ncr/cafe-104-the-fern-residency-delhi-ncr-682802?deal_types[]=postpaid
Victory Cafe,"Sector 15, Dwarka, West Delhi",₹ 400,Fast Food,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683186%2Frestaurant020220405090022.jpeg,https://www.eazydiner.com/delhi-ncr/victory-cafe-sector-15-west-delhi-683186?deal_types[]=postpaid
Gud Bites,"Sector 66, Gurgaon",₹ 600,"Bakery,Italian",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682967%2Frestaurant020220317053914.jpeg,https://www.eazydiner.com/delhi-ncr/gud-bites-sector-66-gurgaon-682967?deal_types[]=postpaid
Smile Darbar,"Asaf Ali Road, Old Delhi",₹ 900,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683166%2Frestaurant020220402045205.jpg,https://www.eazydiner.com/delhi-ncr/smile-darbar-asaf-ali-road-old-delhi-683166?deal_types[]=postpaid
Twenty Ten,"Ashtan Sarovar Portico, New Delhi",₹ 1500,Multicuisine,3.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112907%2Frestaurant020220120081552.jpg,https://www.eazydiner.com/delhi-ncr/twenty-ten-ashtan-sarovar-portico-green-park-112907?deal_types[]=postpaid
Dramz Brasserie,"Mehrauli, South Delhi",₹ 1500,Multicuisine,2.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682935%2Frestaurant020220312082726.jpeg,https://www.eazydiner.com/delhi-ncr/dramz-brasserie-mehrauli-south-delhi-682935?deal_types[]=postpaid
The Bar Company,"Gardens Galleria Mall, Sector 38",₹ 1200,Multicuisine,3.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682754%2Frestaurant020220222052433.jpeg,https://www.eazydiner.com/delhi-ncr/the-bar-company-gardens-galleria-682754?deal_types[]=postpaid
MISRI TRUELY INDIAN,"Gaur City Mall, Gaur City 1",₹ 1200,North Indian,3.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683075%2Frestaurant020220325070346.jpg,https://www.eazydiner.com/delhi-ncr/misri-gaur-city-mall-gaur-city-1-683075?deal_types[]=postpaid
Yo China,"Janakpuri, West Delhi",₹ 800,Chinese,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683454%2Frestaurant020220504074302.jpeg,https://www.eazydiner.com/delhi-ncr/yo-china-janakpuri-west-delhi-683454
Bo Tai - Switch,"Connaught Place (CP), Central Delhi",₹ 1500,"Thai,Fusion,Asian",3.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672201%2Frestaurant220210106132557.jpeg,https://www.eazydiner.com/delhi-ncr/bo-tai-switch-connaught-place-cp-central-delhi-672201
Vyrus Lounge and Bar,Eldeco Station 1 Mall,₹ 1500,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683440%2Frestaurant020220430112605.jpg,https://www.eazydiner.com/delhi-ncr/vyrus-lounge-and-bar-eldeco-station-1-mall-683440
Cafe Nauticalmile,"Sector 67, Gurgaon",₹ 700,"Mexican,Healthy,Continental",3.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674338%2Frestaurant020211001091155.jpg,https://www.eazydiner.com/delhi-ncr/cafe-nauticalmile-sector-67-gurgaon-674338?deal_types[]=postpaid
Dhaba 65,"Sector 65, Gurgaon",₹ 1000,"Chinese,Indian",3.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683260%2Frestaurant020220415073854.jpeg,https://www.eazydiner.com/delhi-ncr/dhaba-65-sector-65-gurgaon-683260?deal_types[]=postpaid
Food Bus of India,"Lajpat Nagar 3, South Delhi",₹ 400,"Chinese,North Indian",2.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683671%2Frestaurant020220528050628.jpg,https://www.eazydiner.com/delhi-ncr/food-bus-of-india-lajpat-nagar-3-south-delhi-683671?deal_types[]=postpaid
Aero Restro,"Gardens Galleria Mall, Sector 38",₹ 1200,Multicuisine,2.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683077%2Frestaurant120220325081232.jpg,https://www.eazydiner.com/delhi-ncr/aero-restro-gardens-galleria-683077?deal_types[]=postpaid
Liquid Bar & Lounge,"Prashant Vihar, North Delhi",₹ 1000,Multicuisine,1.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683482%2Frestaurant020220506090941.jpeg,https://www.eazydiner.com/delhi-ncr/liquid-bar-lounge-prashant-vihar-north-delhi-683482?deal_types[]=postpaid
Di Ghent Cafe,"Cross Point Mall, Gurgaon",₹ 1200,"Cafe,European",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110391%2Frestaurant120200629072725.jpg,https://www.eazydiner.com/delhi-ncr/di-ghent-cafe-dlf-phase-4-110391?deal_types[]=postpaid
The Sky Boat,"Gaur City 1, Noida",₹ 1200,Multicuisine,1.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683434%2Frestaurant020220430101748.jpeg,https://www.eazydiner.com/delhi-ncr/the-sky-boat-gaur-city-1-noida-683434?deal_types[]=postpaid
Caffé Tonino,"Connaught Place (CP), Central Delhi",₹ 1000,Italian,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121252%2F2506_1-01.jpg,https://www.eazydiner.com/delhi-ncr/caffe-tonino-connaught-place-new-delhi-121252?deal_types[]=postpaid
Under The Neem,"Sector 83, Gurgaon",₹ 1200,"Beverages,Cafe,European,Indian,Italian,North Indian,Pizza,Continental",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F658066%2Frestaurant020210107085813.jpg,https://www.eazydiner.com/delhi-ncr/under-the-neem-sector-83-gurgaon-658066?deal_types[]=postpaid
1911,"The Imperial, New Delhi",₹ 3000,"Multicuisine,All Day Dining",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110936%2Frestaurant520210315072227.jpg,https://www.eazydiner.com/delhi-ncr/1911-the-imperial-connaught-place-cp-110936?deal_types[]=postpaid
Punjab Grill,Worldmark 1,₹ 1500,North Indian,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/group%2F41%2Fmenu120210122070234.jpg,https://www.eazydiner.com/delhi-ncr/punjab-grill-worldmark-1-658795?deal_types[]=postpaid
Blooms,"Eros Hotel, Nehru Place",₹ 3500,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112036%2F2-01.jpg,https://www.eazydiner.com/delhi-ncr/blooms-eros-hotel-nehru-place-112036?deal_types[]=postpaid
Foresta,"Saidulajab, South Delhi",₹ 800,"Cafe,Chinese,European,Indian,Italian",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F656989%2Frestaurant320190525121245.jpg,https://www.eazydiner.com/delhi-ncr/foresta-bistro-cafe-saidulajab-south-delhi-656989?deal_types[]=postpaid
Roasted By Roseate,"Vasant Kunj, South Delhi",₹ 1000,Coffee and Tea,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F671423%2Frestaurant020201211071735.jpeg,https://www.eazydiner.com/delhi-ncr/roasted-by-roseate-vasant-kunj-south-delhi-671423?deal_types[]=postpaid
Paul,"Ambience Mall, Gurgaon",₹ 1500,"Bakery,Beverages,Cafe,Desserts,Finger Food,Italian,Sandwiches,Continental",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F661803%2Frestaurant120190204045951.jpeg,https://www.eazydiner.com/delhi-ncr/paul-ambience-mall-gurgaon-661803?deal_types[]=postpaid
Mosaic,"Crowne Plaza, Greater Noida",₹ 2500,Multicuisine,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112857%2Frestaurant220170722103533.jpg,https://www.eazydiner.com/delhi-ncr/mosaic-greater-noida-112857?deal_types[]=postpaid
Royal One,"Ashok Vihar Phase 2, North Delhi",₹ 1200,"Chinese,Italian,North Indian,Kababs",N/A,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683677%2Frestaurant020220528080632.jpeg,https://www.eazydiner.com/delhi-ncr/royal-one-ashok-vihar-phase-2-north-delhi-683677?deal_types[]=postpaid
Chili's,"Ambience Mall, Gurgaon",₹ 1500,"American,Beverages,Finger Food,Italian,Mexican,Pizza,Tex-Mex,Burgers",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/group%2F29%2Fmenu020170626081711.jpg,https://www.eazydiner.com/delhi-ncr/chilis-ambience-mall-gurgaon-110077?deal_types[]=postpaid
Di Ghent Cafe,"Khan Market, Central Delhi",₹ 1800,European,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682110%2Frestaurant020211117081213.jpeg,https://www.eazydiner.com/delhi-ncr/di-ghent-cafe-khan-market-central-delhi-682110?deal_types[]=postpaid
Perch Wine & Coffee Bar,"Vasant Vihar, South Delhi",₹ 1800,European,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F613654%2Frestaurant020170704125519.jpg,https://www.eazydiner.com/delhi-ncr/perch-wine-coffee-bar-vasant-vihar-south-delhi-613654?deal_types[]=postpaid
Insignia By INOX,"Epicuria Mall, Nehru Place",₹ 1000,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673725%2Frestaurant220210825050210.jpg,https://www.eazydiner.com/delhi-ncr/insignia-nehruplacesouthdelhi-673725?deal_types[]=postpaid
The Pasta Bowl Company,"Cross Point Mall, Gurgaon",₹ 1500,Italian,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110424%2Frestaurant020170619070338.jpg,https://www.eazydiner.com/delhi-ncr/the-pasta-bowl-company-dlf-phase-4-110424?deal_types[]=postpaid
