restaurant_names,restaurant_locations,costs_for_2,cusisines,ratings,restaurant_imgs,restaurant_pages
Padmanabham,"Kailash Colony, South Delhi",₹ 1200,South Indian,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683347%2Frestaurant020220430090744.jpg,https://www.eazydiner.com/delhi-ncr/padmanabham-kailash-colony-south-delhi-683347?deal_types[]=postpaid
The Reader's Cafe,"Sector 18, Noida",₹ 1000,Continental,3.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683037%2Frestaurant020220323101344.jpeg,https://www.eazydiner.com/delhi-ncr/the-readers-cafe-sector-18-noida-683037?deal_types[]=postpaid
RBG,"Park Inn by Radisson, Patparganj",₹ 1500,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F657304%2Frestaurant120180919092516.jpg,https://www.eazydiner.com/delhi-ncr/rbg-park-inn-by-radisson-657304?deal_types[]=postpaid
The Snookhook Cafe,"Kailash Colony, South Delhi",₹ 800,Multicuisine,3.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F656298%2Frestaurant020180803083059.jpg,https://www.eazydiner.com/delhi-ncr/the-snookhook-cafe-kailash-colony-south-delhi-656298?deal_types[]=postpaid
Mosaic,"Country Inn & Suites by Radisson, Sector 12, Gurgaon",₹ 1600,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112214%2Frestaurant720200527062527.jpg,https://www.eazydiner.com/delhi-ncr/mosaic-country-inn-suites-by-carlson-sector-12-112214?deal_types[]=postpaid
Orchid Cafe,"Fortune Park Orange, Sidhrawali, Gurgaon",₹ 1400,Multicuisine,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F668490%2Frestaurant120190820113236.jpg,https://www.eazydiner.com/delhi-ncr/orchid-fortune-park-orange-sidhrawali-gurgaon-668490?deal_types[]=postpaid
DKK,"The Grand, New Delhi",₹ 3200,All Day Dining,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111780%2Frestaurant020210413053016.jpg,https://www.eazydiner.com/delhi-ncr/cascades-the-grand-vasant-kunj-111780?deal_types[]=postpaid
Jazbaa,"Rajouri Garden, West Delhi",₹ 1000,"Beverages,Chinese,Finger Food,Italian,North Indian,Pizza,Multicuisine",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F644537%2Frestaurant020170706125628.jpg,https://www.eazydiner.com/delhi-ncr/jazbaa-rajouri-garden-west-delhi-644537?deal_types[]=postpaid
Cafe Knosh,"The Leela Ambience Convention Hotel, New Delhi",₹ 3000,Cafe,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111388%2Frestaurant020160816144744.jpg,https://www.eazydiner.com/delhi-ncr/cafe-knosh-the-leela-ambience-convention-hotel-vivek-vihar-111388?deal_types[]=postpaid
Pa Pa Ya,"Select Citywalk Mall, Saket",₹ 2000,"Chinese,Finger Food,Japanese,Sushi,Thai,Pan Asian,Asian",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643287%2Frestaurant120170104115448.jpg,https://www.eazydiner.com/delhi-ncr/pa-pa-ya-select-citywalk-mall-saket-643287
